Educative's Python for Programmers	1	https://www.educative.io/verify-certificate/r0w3pLtnXYkROnNJKix5ZOjgZmB5u6	2021
Educative's C++ for Programmers	1	https://www.educative.io/verify-certificate/MjprXLCk4EXXB07yKIR7EoQKEq07IZ	2021
DartmouthX and IMTx's C Programming with Linux	1	https://credentials.edx.org/credentials/c938fe5ee3934afd99900886df70f473	2021
Educative's Become a Django Developer	1	https://www.educative.io/verify-certificate/1j8yMXCLkVAJ2EBR8SAnj5YNj4PnFp	2022
Oracle Academy	0		2022
Educative Course Certificates: Programming Strategies	0		2022
Educative Course Certificates: Programming Languages	0		2021
Educative Course Certificates: Functional Programming	0		2021
Educative Course Certificates: Miscellaneous	0		2021
Educative Course Certificates: Miscellaneous	0		2022
