C# Programming	2021 Spring	Pitt Community College
Network & Security Foundation	2021 Spring	Pitt Community College
Simulation and Game Development Programming	2021 Spring	Pitt Community College
Web, Programming, and Databases	2021 Spring	Pitt Community College
Information Systems Business Concepts	2021 Spring	Pitt Community College
Art Appreciation	2021 Spring	Pitt Community College
College Student Success	2021 Summer	Pitt Community College
Introduction to Computers	2021 Summer	Pitt Community College
C++ Programming	2021 Summer	Pitt Community College
Professional Practices in IT	2021 Summer	Pitt Community College
Computing Fundamentals I	2021 Fall	Pitt Community College
JAVA Programming	2021 Fall	Pitt Community College
Systems Analysis & Design	2021 Fall	Pitt Community College
Advanced C# Programming	2021 Fall	Pitt Community College
Project Management	2021 Fall	Pitt Community College
Linux/UNIX Single User	2021 Fall	Pitt Community College
Python Programming	2022 Spring	Pitt Community College
Advanced JAVA Programming	2022 Spring	Pitt Community College
Database Concepts	2022 Spring	Pitt Community College
Programming Capstone Project	2022 Spring	Pitt Community College
Spreadsheets	2022 Spring	Pitt Community College
Introduction to Ethics	2022 Spring	Pitt Community College
Database Programming I	2022 Fall	Pitt Community College
Calculus II	2018 Fall	Slippery Rock University
Programming Principles	2018 Fall	Slippery Rock University
Chinese 101	2019 Spring	Slippery Rock University
Interactive Multimedia 2	2019 Spring	Slippery Rock University
Introduction Chemistry I	2021 Winter	Slippery Rock University
University Physics 1 with Lab	2022 Spring	Slippery Rock University
Computer Science for Transfer Students	2022 Fall	Rochester Institute of Technology
The Mechanics of Programming	2022 Fall	Rochester Institute of Technology
Discrete Math for Computing	2022 Fall	Rochester Institute of Technology
Multivariable & Vector Calculus	2022 Fall	Rochester Institute of Technology
Writing Seminar	2022 Fall	Rochester Institute of Technology
